country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Liberia,Africa,7397,294.0,5747.0,1356.0,2.0,1406,56.0,139824.0,26582.0,5260110
Libya,Africa,500864,6368.0,486647.0,7849.0,111.0,71242,906.0,2461977.0,350186.0,7030491
Liechtenstein,Europe,14926,81.0,14055.0,790.0,8.0,389560,2114.0,80413.0,2098734.0,38315
Lithuania,Europe,984980,8704.0,902510.0,73766.0,67.0,370633,3275.0,7947254.0,2990430.0,2657562
Luxembourg,Europe,197701,1010.0,183716.0,12975.0,4.0,307310,1570.0,4114873.0,6396239.0,643327
Macedonia,Europe,302548,9162.0,291431.0,1955.0,,145230,4398.0,1904444.0,914179.0,2083228
Madagascar,Africa,63870,1377.0,59156.0,3337.0,23.0,2210,48.0,404843.0,14007.0,28903112
Malawi,Africa,85539,2624.0,77556.0,5359.0,67.0,4283,131.0,555817.0,27830.0,19971617
Malaysia,Asia,3927437,34185.0,3596453.0,296799.0,373.0,118752,1034.0,53049502.0,1604033.0,33072571
Maldives,Asia,174658,297.0,163687.0,10674.0,25.0,313704,533.0,2213831.0,3976268.0,556761
Mali,Africa,30439,727.0,29592.0,120.0,,1433,34.0,637225.0,29996.0,21243803
Malta,Europe,73728,619.0,70836.0,2273.0,1.0,166224,1396.0,1211456.0,2731291.0,443547
Marshall Islands,Australia/Oceania,7,,7.0,0.0,,117,,,,59871
Martinique,North America,135881,905.0,104.0,134872.0,8.0,362573,2415.0,777358.0,2074232.0,374769
Mauritania,Africa,58660,981.0,57665.0,14.0,30.0,12076,202.0,765598.0,157604.0,4857747
Mauritius,Africa,34890,934.0,32931.0,1025.0,,27357,732.0,358675.0,281233.0,1275365
Mayotte,Africa,36745,187.0,2964.0,33594.0,,129373,658.0,176919.0,622902.0,284024
Mexico,North America,5624954,321806.0,4917930.0,385218.0,4798.0,42860,2452.0,15413920.0,117447.0,131241075
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,117078
Moldova,Europe,509367,11373.0,493146.0,4848.0,56.0,126772,2831.0,3105348.0,772862.0,4017984
Monaco,Europe,10015,54.0,9646.0,315.0,4.0,252165,1360.0,54960.0,1383825.0,39716
Mongolia,Asia,467436,2177.0,313256.0,152003.0,192.0,138778,646.0,4030048.0,1196489.0,3368228
Montenegro,Europe,231927,2696.0,228450.0,781.0,60.0,369192,4292.0,1193819.0,1900377.0,628201
Montserrat,North America,174,2.0,163.0,9.0,,34821,400.0,8359.0,1672804.0,4997
Morocco,Africa,1162322,16050.0,1145647.0,625.0,293.0,30867,426.0,11237010.0,298412.0,37656026
Mozambique,Africa,225200,2199.0,221989.0,1012.0,13.0,6877,67.0,1287004.0,39302.0,32746221
Myanmar,Asia,607844,19418.0,561667.0,26759.0,,11045,353.0,7455368.0,135475.0,55031426
Namibia,Africa,157489,4014.0,153069.0,406.0,1.0,60127,1532.0,971993.0,371091.0,2619288
Nepal,Asia,978107,11950.0,961781.0,4376.0,100.0,32572,398.0,5498412.0,183100.0,30029495
Netherlands,Europe,7380902,21755.0,5821234.0,1537913.0,155.0,429135,1265.0,21107399.0,1227211.0,17199489
New Caledonia,Australia/Oceania,59861,306.0,58138.0,1417.0,22.0,206293,1055.0,98964.0,341049.0,290175
New Zealand,Australia/Oceania,452670,138.0,328665.0,123867.0,,90496,28.0,6883186.0,1376059.0,5002100
Nicaragua,North America,18290,223.0,4225.0,13842.0,,2706,33.0,,,6758851
Niger,Africa,8788,308.0,8465.0,15.0,1.0,342,12.0,235282.0,9156.0,25697765
Nigeria,Africa,255092,3142.0,249457.0,2493.0,11.0,1187,15.0,4589725.0,21364.0,214839323
Niue,Australia/Oceania,1,,,1.0,,608,,,,1645
Norway,Europe,1372340,2169.0,,,22.0,249812,395.0,9852076.0,1793412.0,5493483
Oman,Asia,387180,4250.0,380425.0,2505.0,23.0,72672,798.0,25000000.0,4692401.0,5327763
Pakistan,Asia,1520817,30326.0,1473616.0,16875.0,525.0,6664,133.0,27065254.0,118604.0,228197969
Palau,Australia/Oceania,3935,6.0,3639.0,290.0,1.0,215723,329.0,38863.0,2130530.0,18241
Panama,North America,760735,8150.0,750028.0,2557.0,16.0,171705,1840.0,5616413.0,1267675.0,4430482
Papua New Guinea,Australia/Oceania,41533,639.0,39905.0,989.0,7.0,4497,69.0,249149.0,26977.0,9235706
Paraguay,South America,646630,18559.0,621935.0,6136.0,68.0,88801,2549.0,2565957.0,352378.0,7281823
Peru,South America,3539400,211691.0,,,615.0,104857,6272.0,28107876.0,832717.0,33754406
Philippines,Asia,3672661,57880.0,3569387.0,45394.0,289.0,32772,516.0,28624002.0,255421.0,112066117
Poland,Europe,5863414,113980.0,5215898.0,533536.0,457.0,155215,3017.0,34844547.0,922400.0,37775963
Portugal,Europe,3380263,21285.0,2876177.0,482801.0,70.0,333161,2098.0,37805639.0,3726148.0,10146037
Qatar,Asia,359517,677.0,357858.0,982.0,3.0,128042,241.0,3397422.0,1209992.0,2807805
Reunion,Africa,318695,689.0,306072.0,11934.0,41.0,351682,760.0,1535875.0,1694850.0,906201
Romania,Europe,2806881,64581.0,2606660.0,135640.0,502.0,147583,3396.0,21679709.0,1139899.0,19018977
Russia,Europe,17518699,363563.0,16039709.0,1115427.0,2300.0,119957,2489.0,273400000.0,1872076.0,146041114
Rwanda,Africa,129623,1458.0,45522.0,82643.0,,9602,108.0,4997675.0,370228.0,13498922
Saint Barthelemy,North America,3780,6.0,,,,380741,604.0,78646.0,7921636.0,9928
Saint Helena,Africa,2,,2.0,0.0,,327,,,,6108
Saint Kitts And Nevis,North America,5544,42.0,5497.0,5.0,1.0,102972,780.0,65141.0,1209900.0,53840
Saint Lucia,North America,22870,365.0,22468.0,37.0,1.0,123584,1972.0,138567.0,748780.0,185057
Saint Martin,North America,9912,63.0,1399.0,8450.0,7.0,249114,1583.0,112382.0,2824449.0,39789
Saint Pierre And Miquelon,North America,1693,1.0,1217.0,475.0,1.0,294640,174.0,17358.0,3020884.0,5746
Saint Vincent And The Grenadines,North America,6743,106.0,6636.0,1.0,,60454,950.0,98236.0,880724.0,111540
Samoa,Australia/Oceania,49,,28.0,21.0,,244,,,,200661
San Marino,Europe,14726,112.0,14340.0,274.0,4.0,432444,3289.0,140260.0,4118874.0,34053
Sao Tome And Principe,Africa,5938,72.0,5862.0,4.0,,26264,318.0,29036.0,128426.0,226091
Saudi Arabia,Asia,749268,9024.0,731638.0,8606.0,223.0,20966,253.0,41320890.0,1156232.0,35737546
Senegal,Africa,85818,1964.0,83810.0,44.0,3.0,4905,112.0,1029625.0,58852.0,17495185
Serbia,Europe,1949953,15647.0,1892639.0,41667.0,47.0,224717,1803.0,8989852.0,1036009.0,8677389
Seychelles,Africa,39761,163.0,39367.0,231.0,,400070,1640.0,,,99385
Sierra Leone,Africa,7670,125.0,,,,929,15.0,259958.0,31498.0,8253273
Singapore,Asia,986320,1182.0,942101.0,43037.0,36.0,166362,199.0,23396045.0,3946200.0,5928753
Sint Maarten,North America,9633,85.0,9524.0,24.0,10.0,220410,1945.0,62056.0,1419883.0,43705
Slovakia,Europe,1608668,19040.0,1463314.0,126314.0,214.0,294404,3485.0,6673583.0,1221340.0,5464149
Slovenia,Europe,929013,6428.0,892689.0,29896.0,58.0,446764,3091.0,2595137.0,1248007.0,2079425
Solomon Islands,Australia/Oceania,9758,127.0,2195.0,7436.0,4.0,13637,177.0,5117.0,7151.0,715566
Somalia,Africa,26400,1348.0,13182.0,11870.0,,1586,81.0,400466.0,24055.0,16648107
South Africa,Africa,3700484,99829.0,3585603.0,15052.0,546.0,61081,1648.0,23514233.0,388134.0,60582803
South Korea,Asia,8657609,11782.0,,,1049.0,168618,229.0,15804065.0,307805.0,51344386
South Sudan,Africa,17084,138.0,13507.0,3439.0,1.0,1496,12.0,351224.0,30762.0,11417345
Spain,Europe,11260040,101416.0,10502784.0,655840.0,682.0,240673,2168.0,471036328.0,10067967.0,46785643
Sri Lanka,Asia,657435,16419.0,624440.0,16576.0,,30484,761.0,6368159.0,295283.0,21566268
